reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion;
"24127855-bdf8-49cf-b1af-af68a6def47d,Sarmilah,https://play-lh.googleusercontent.com/a/ACg8ocKTxlT1ZwtUBhpIP-lHh0HDVukucX8AGgIo3DimsqywTwNKWg=mo,""Pesan melalui Alfagift terkadang ribet harus verifikasi terlebih dahulu ketika pembayaran melalui shopeepay dan kadang di shopeepay pembayarannya sudah selesai bahkan saldo sudah berkurang tetapi di Alfagift masih menunggu pembayaran terus,bahkan bisa di batalkan sistem padahal sudah di bayar, dan ketika minta refund harus bermacam-macam syarat,ribet bgt"",2,3,4.47.1,2026-04-04 09:45:49,""Hai, Kak. Mohon maaf atas kendala pembayaran ShopeePay yang tidak terupdate di Alfagift. Kami mengerti ketidaknyamanan Kakak. Kakak dapat menghubungi Shalma melalui DM Instagram Alfagift dengan melampirkan kode #3575300 agar dibantu pengecekan. 😊^ts"",2026-04-04 10:32:27,4.47.1";
"a3e52c11-eed3-4dae-a6ab-fe2fc1e43be1,White Violin,https://play-lh.googleusercontent.com/a/ACg8ocJPBzqiP4vTQjtRVflspyejfTAwrvjbqCB3WO1BnbJehrYOag=mo,""promo, harga, memang bagus. Cuman sayang nya point yg masuk ke aplikasi ini hanya yg nomor telp nya di sebutkan saja, kalau scan barcode itu enggak sama sekali. baru kemarin tanggal 2-2-2026 belanja terus nunjukin Barcode keanggotaan member Alfa, di Scan sama pegawai nya, kirain saya beneran sudah masuk tapi pas saya chek sekarang ternyata tidak. Ntah dari Barcode aplikasinya salah / tidak di scan dengan benar oleh para pekerja (cukup formalitas saja). Jujur kecewa."",2,28,4.46.0,2026-02-03 07:56:29,""Hai, Kak. Mohon maaf atas pengalaman kurang menyenangkan terkait pengiriman Alfagift yang lama dan poin member yang belum masuk. Kami berupaya meningkatkan kecepatan pengiriman dan memastikan pencatatan poin. Pastikan nomor terdaftar dan barcode Kakak terbaca jelas saat scan. Poin akan masuk otomatis ke akun Kakak. Cek riwayat di aplikasi ya. ✨^Yna"",2026-02-10 09:16:38,4.46.0";
"9b0d25d8-e4b8-4289-a9bb-f8c891932886,Yani Nurbani,https://play-lh.googleusercontent.com/a/ACg8ocJk67qaAwtoGopKCqDDzerA_BQo1z83qJCvYKRO9B2EPX1HVw=mo,""pengirimannya lelet banget, order pagi buat dikirim siang, tapi sering bgt pengirimannya telat bisa jam 10malem/set 12 malem waktu nya orang istirahat. kalo cuma sekali 2x ok bisa dimaklumi. ini berkali2. bodohnya saya malah beli lagi di alfagift. padahal klik Indomaret lebih cepet, dan lebih respon kalo ada kendala. chatbot Alfa ga guna, tidak mau menerima kritik & saran. Terlihat tidak ada keinginan memperbaiki pelayanan yang buruk."",1,121,4.46.0,2026-02-05 14:12:45,""Hai, Kak. Mohon maaf atas ketidaknyamanan yang Kakak alami. Untuk penelusuran lebih lanjut terkait kendala kakak, Kakak dapat menghubungi Shalma melalui DM Instagram Alfagift dengan melampirkan kode #3305068 agar dibantu pengecekan. 😊"",2026-02-06 03:27:40,4.46.0";
"2c95790f-c09a-48c3-bcee-8235e75f0469,Ramayani mahsi,https://play-lh.googleusercontent.com/a/ACg8ocIG_ffxNULPKa_tF6cfm9U7KLYFF6UvZ2laDJSWo-m3LMogcw=mo,""aneh banget sekarang, harga tertera pas di checkout berubah. Voucher sudah sesuai ketentuan tapi ketika co tidak bisa digunakan. Padahal terkadang otomatis terpasang voucher dari rekomendasi ketika mau klik bayar tidak bisa. Aneh sekarang aplikasinya suka error"",1,77,4.46.0,2026-02-02 02:47:13,""Hai, Kak. Mohon maaf atas ketidaknyamanannya. Kami mengerti sekali frustrasi Kakak. Untuk masalah perubahan harga dan voucher, Kakak dapat menghubungi Shalma melalui DM Instagram Alfagift dengan melampirkan kode #3293949 agar dibantu pengecekan. 😊 ^kip"",2026-02-02 14:17:20,4.46.0";
"07146141-9029-4252-aa12-4fc57d51e9f1,Bembi Farhan,https://play-lh.googleusercontent.com/a-/ALV-UjWQerB88tLUlJddY3GU0OtZdB3xYka1TGgttE5pZMcQXg6_ZM8,""sangat slow respon sekali, status """"dalam pengiriman"""" telah muncul sejak jam delapan tetapi hingga setengah 10, tidak ada pengantaran sama sekali ke rumah, saya mencoba untuk chat tetapi tidak ada balasan sama sekali. Tolong lah kalau bisa tambahkan fitur lacak by maps, jadi kita tau paket yang kita pesan sudah sampai mana progress nya. Siapa tau kurir nya malah santai santai di warkop!!"",2,8,4.47.1,2026-03-20 14:22:54,""Hai, Kak. Mohon maaf atas kendala pengiriman yang terjadi. Untuk pengecekan lebih lanjut terkait status pesanan, Kakak dapat menghubungi Shalma melalui DM Instagram Alfagift dengan melampirkan kode #3508359 agar dibantu pengecekan.😊^Ynaa"",2026-03-20 16:45:35,4.47.1";
"147cb316-d49f-49a6-81c7-c82d741cbf36,Avery Jones,https://play-lh.googleusercontent.com/a-/ALV-UjUtLHS3ci4j2ir1T0ioKxRa_GmMVnqo6ALrO9nNCyMNazURWrym,""​""""Sistem pengiriman sangat lambat dan tidak profesional. Pesanan sudah lunas via DANA dari jam 10 pagi, tapi status 'Pengiriman Tertunda' berjam-jam dengan alasan pembeli tidak bisa dihubungi, padahal saya standby terus. Mau komplain lewat chat aplikasi malah error terus. Sangat menghambat pelanggan!"""""",1,2,4.47.1,2026-04-06 06:11:41,""Hai, Kak. Mohon maaf atas ketidaknyamanan terkait kendala pengiriman dan aplikasi yang error. Kami akan segera membantu pengecekan status pesanan Kakak. Kakak dapat menghubungi Shalma melalui DM Instagram Alfagift dengan melampirkan kode #3584848 agar dibantu pengecekan. 😊^ts"",2026-04-06 06:50:11,4.47.1";
"29e86ea2-7daf-4ae5-af2e-34617b2db6a0,Budi Kurnia,https://play-lh.googleusercontent.com/a/ACg8ocKle-RHP7ttP1TXz6HNCSVOuhiH9jQ7wDhltkGwdQr56Bt_eg=mo,Alfagift enak digunakan untuk belanja bulanan dan harian namun makin kesini pelayananya makin mengecewakan. Malahan sering ditolak/ dicancel oleh kurir alfagift dengan alasan kejauhan padahal areanya juga tidak terlalu jauh. Malah oleh kurirnya disuruh mengubah titik lokasi rumah ke wilayah lain yang tidak sesuai kenyataan supaya tidak nyangkut lagi ke alfamart tsb. Jadi kecewa dan males untuk berlangganan lagi.,1,10,4.47.1,2026-03-06 08:21:35,""Hai, Kak. Mohon maaf atas ketidaknyamanannya. Kami mengerti kekecewaan Kakak. Agar dapat dibantu pengecekan terkait kendala ini, Kakak dapat menghubungi Shalma melalui DM Instagram Alfagift dengan melampirkan kode #3431492 ya. 😊^kip"",2026-03-07 03:48:42,4.47.1";
"62dfd284-9a91-4d9e-9d15-4c49bc05a455,ROBI MAULANA,https://play-lh.googleusercontent.com/a-/ALV-UjVJ0BQIT7uicpzZH7par1JY_8qiI_EFgvQSRA6E1IrMgCbOzUej,""Pengiriman selalu meleset jauh dari yang di jadwalkan pilih maks 1 jam di kirim setelah 3/4 jam ketika pilih jadwal jam 12 ke atas di kirim besoknya adehh, ditambah kalo ada kekurangan barang sudah di chat akan di kirim lagi tapi sudah lebih dari 2 minggu tidak ada pengiriman lagi mana chatnya disconnect jadi gabisa chat ke tokonya bahkan setelah kita reorder pun masih tetep disconnect padahal gada kata kata kasar atau melanggar"",1,3,4.47.1,2026-03-30 01:18:52,""Hai, Kak Robi. Maaf banget atas kendala yang terjadi. Jika masih terjadi kendala, Kakak dapat menghubungi Shalma melalui DM Instagram Alfagift dengan melampirkan kode Tiket #3547749 agar dibantu pengecekan. Kejadian ini akan Shalma jadikan evaluasi untuk lebih baik lagi. Terima kasih :) ^ds"",2026-03-30 01:49:34,4.47.1";
"9031ed9d-9ded-420f-996d-1cac53ead375,nadine anmxyr,https://play-lh.googleusercontent.com/a-/ALV-UjWFtQ94V43n8LaUrvqoENAECCLBwFeOrtajxqAtwNhkNDPXWwWNUw,""ga banget pelayanan nya, aku order jam 2 siang dan pilih pengiriman 'maksimal 1 jam setelah pembayaran' tapi sampe magrib blm dateng. status nya 'pengiriman ditunda karena penerima tidak ada di tempat' pdhal ada telfon masuk aja engga, chat pun ga ada.. seharian di kamar dan ga ada info kurir datang.. jujur ga banget, 2x udh kayak gini."",1,3,4.47.1,2026-04-08 09:24:03,""Hai Kak, mohon maaf atas ketidaknyamanan yang dialami. Kami terus berupaya meningkatkan kualitas layanan agar lebih baik. Terkait dengan kendala yang Kakak alami, mohon bantu kirim nomor pesanan & detail kendala via DM ke IG @Alfamart/@Alfagift_idn atau pusat bantuan Alfagift dengan kode #3594365. Terima kasih ^raf"",2026-04-08 09:34:17,4.47.1";
"2f8219ba-e316-4866-87d9-c26bc98e0875,Gabriel13 Gamerz,https://play-lh.googleusercontent.com/a-/ALV-UjWOPgM0m83dMf9MGanxJz0PqmP4s1I7kmAINTo0iC-Dg6ThBpo,""semakin lama pelayanan nya semakin buruk, kemarin banget saya pesan, lama datang nya, terus di chat alasan produknya kosong padahal di app ada, terus saya bls karna udah saya bayar lunas, tiba² di batalin dia pesanan nya terus chat saya di baca doang, dana saya tidak di kembalikan sampai Sekarang, kecewa berat, ga bakal belanja lagi di alfa, dulu² juga belanja di Alfa di kasih roti yang besok nya udah expired, terus minuman yang udah mau expired. tapi terakhir ini yang parah."",1,7,4.47.1,2026-03-20 07:54:32,""Hai, Kak. Mohon maaf atas kendala yang dialami. Agar dibantu pengecekan terkait pesanan, dana, dan produk expired, Kakak dapat menghubungi Shalma melalui DM Instagram Alfagift dengan melampirkan kode #3506719 🙏^Ynaa"",2026-03-20 17:12:30,4.47.1";
